title,artist,release_year,album_art_image_url,review,description,timestamp
AM,Arctic Monkeys,2013,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,3.0,"I really liked the instrumentation of this album, but I wasn't really able to connect with the lyricism.","2025-11-16"
52nd Street,Billy Joel,1978,https://i.scdn.co/image/ab67616d0000b2731d4675d5a0345bb93686e4b6,4.5,"Great jazzy instrumentation, however it's a bit weaker than The Stranger in terms of lyricism.","2025-11-16"
The Stranger,Billy Joel,1977,https://i.scdn.co/image/ab67616d0000b2738a6dbac0b74bd2484189ea5f,5.0,"An incredible album, each song has a different feel and a relatable message.","2025-11-12"
Desperado,Eagles,1973,https://i.scdn.co/image/ab67616d0000b2732d73b1bb77cee09f0278be04,4.0,"I like the unique concept of the album, and it has some amazing songs on it. A lot of the filler songs don't have much replay value in my opinion.","2025-12-03"
Eagles,Eagles,1972,https://i.scdn.co/image/ab67616d0000b273c13acd642ba9f6f5f127aa1b,4.5,"Really great first album that showcases the band's great vocal harmonies, I don't like the all the bird noises in Earlybird.","2025-12-31"
Jackson Browne,Jackson Browne,1972,https://i.scdn.co/image/ab67616d0000b2738783853fc187a19c0ca9d1a2,4.0,"A really solid first album with most of the songs being great, however it feels a bit all over the place with the differing genres.","2025-12-31"
Late for the Sky,Jackson Browne,1974,https://i.scdn.co/image/ab67616d0000b2732a025a4e7885b7e74006c113,5.0,"A brilliant album with no skips, great song-writing, and deeply personal songs.","2025-11-12"
American Teen,Khalid,2017,https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577,3.0,"The hits on this album are great, but the rest of the songs are only okay and aren't too memorable.","2025-12-07"
Animals,Pink Floyd,1977,https://i.scdn.co/image/ab67616d0000b273810168d54f85d48f07389237,4.0,"I really like all of the instrumentation, especially in Dogs. The only thing holding this album back in my opinion is the talk box in Pigs.","2025-11-20"
On the Border,Eagles,1974,https://i.scdn.co/image/ab67616d0000b273a7606c60725b45b636458d7c,3.5,"This album has very good highs, but also contains a lot of filler that differs in genre, which makes it feel disconnected.","2025-11-23"
The Long Run,Eagles,1979,https://i.scdn.co/image/ab67616d0000b2736f87de026f2c70bae5ef11cc,2.5,"This album has a few good hits, but the rest of the songs just aren't that good at all.","2025-11-30"
Meddle,Pink Floyd,1971,https://i.scdn.co/image/ab67616d0000b273e20ab56ef64ad8cad4364dc1,3.5,"I enjoy most of the instrumentation of this album, however I can't stand the dog noises in Seamus, this is the main reason for the lower score.","2025-12-02"
Christmas,Michael Bublé,2011,https://i.scdn.co/image/ab67616d0000b27395517befb15ad5d63af701ab,2.5,"This album has really great vocals and song selection, the only things holding it back in my review is that I can only listen to it 1 month out of the year and it only consists of covers.","2025-12-02"
